"Año";"Mes";"Productos";"Clave  Estado";"Estado";"Importe de los creditos";"Numero de Creditos";"Numero de Beneficiados"
2016;2;"1.- TU CREDITO PARA CRECER";1014000;"JALISCO";60000.00;1;1
2017;11;"2.- TU CREDITO PYME JOVEN";1007000;"CHIAPAS";4500000.00;2;2
2016;7;"2.- TU CREDITO PYME JOVEN";1011000;"GUANAJUATO";2903000.00;4;4
2015;8;"1.- TU CREDITO PARA CRECER";1007000;"CHIAPAS";236000.00;1;1
2016;7;"2.- TU CREDITO PYME JOVEN";1004000;"CAMPECHE";2500000.00;1;1
2015;7;"2.- TU CREDITO PYME JOVEN";1011000;"GUANAJUATO";460000.00;1;1
2017;4;"3.- INCUBACION EN LINEA";1022000;"QUERETARO";150000.00;1;1
2016;12;"2.- TU CREDITO PYME JOVEN";1026000;"SONORA";600000.00;1;1
2017;8;"3.- INCUBACION EN LINEA";1029000;"TLAXCALA";1230000.00;9;9
2016;2;"1.- TU CREDITO PARA CRECER";1008000;"CHIHUAHUA";550000.00;2;2
2017;2;"1.- TU CREDITO PARA CRECER";1008000;"CHIHUAHUA";300000.00;1;1
2015;8;"2.- TU CREDITO PYME JOVEN";1016000;"MICHOACAN";4558000.00;3;3
2016;11;"4.- INCUBACION PRESENCIAL";1015000;"MEXICO";200000.00;1;1
2015;7;"2.- TU CREDITO PYME JOVEN";1016000;"MICHOACAN";1250000.00;1;1
2016;3;"2.- TU CREDITO PYME JOVEN";1011000;"GUANAJUATO";2500000.00;3;3
2016;1;"2.- TU CREDITO PYME JOVEN";1019000;"NUEVO LEON";8440000.00;13;13
2016;10;"3.- INCUBACION EN LINEA";1003000;"BAJA CALIFORNIA SUR";250000.00;2;2
2016;4;"3.- INCUBACION EN LINEA";1015000;"MEXICO";700000.00;5;5
2015;8;"3.- INCUBACION EN LINEA";1016000;"MICHOACAN";250000.00;2;2
2015;8;"1.- TU CREDITO PARA CRECER";1024000;"SAN LUIS POTOSI";143888.89;1;1
2015;12;"2.- TU CREDITO PYME JOVEN";1014000;"JALISCO";1754000.00;4;4
2016;5;"3.- INCUBACION EN LINEA";1021000;"PUEBLA";450000.00;3;3
2015;8;"2.- TU CREDITO PYME JOVEN";1002000;"BAJA CALIFORNIA NORTE";500000.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1004000;"CAMPECHE";217000.00;1;1
2017;12;"3.- INCUBACION EN LINEA";1018000;"NAYARIT";1600000.00;11;11
2017;6;"2.- TU CREDITO PYME JOVEN";1011000;"GUANAJUATO";1089000.00;3;3
2016;4;"2.- TU CREDITO PYME JOVEN";1001000;"AGUASCALIENTES";800000.00;2;2
2015;8;"1.- TU CREDITO PARA CRECER";1001000;"AGUASCALIENTES";444000.00;2;2
2015;12;"2.- TU CREDITO PYME JOVEN";1024000;"SAN LUIS POTOSI";100000.00;1;1
2015;9;"2.- TU CREDITO PYME JOVEN";1009000;"CIUDAD DE MEXICO";4200000.00;3;3
2015;8;"1.- TU CREDITO PARA CRECER";1014000;"JALISCO";433833.33;2;2
2017;1;"2.- TU CREDITO PYME JOVEN";1026000;"SONORA";6000000.00;4;4
2017;3;"3.- INCUBACION EN LINEA";1015000;"MEXICO";430000.00;4;4
2017;5;"2.- TU CREDITO PYME JOVEN";1010000;"DURANGO";696000.00;1;1
2015;8;"1.- TU CREDITO PARA CRECER";1002000;"BAJA CALIFORNIA NORTE";250000.00;1;1
2015;8;"3.- INCUBACION EN LINEA";1022000;"QUERETARO";150000.00;1;1
2017;12;"3.- INCUBACION EN LINEA";1017000;"MORELOS";797061.00;6;6
2016;10;"1.- TU CREDITO PARA CRECER";1026000;"SONORA";80000.00;1;1
2016;10;"3.- INCUBACION EN LINEA";1010000;"DURANGO";1300000.00;9;9
2015;8;"1.- TU CREDITO PARA CRECER";1016000;"MICHOACAN";70000.00;1;1
2016;8;"1.- TU CREDITO PARA CRECER";1005000;"COAHUILA";206000.00;2;2
2015;8;"2.- TU CREDITO PYME JOVEN";1021000;"PUEBLA";3800000.00;2;2
2017;12;"2.- TU CREDITO PYME JOVEN";1022000;"QUERETARO";973000.00;2;2
2016;10;"3.- INCUBACION EN LINEA";1030000;"VERACRUZ";1130000.00;8;8
2017;6;"3.- INCUBACION EN LINEA";1001000;"AGUASCALIENTES";300000.00;2;2
2015;8;"1.- TU CREDITO PARA CRECER";1031000;"YUCATAN";380000.00;2;2
2015;8;"2.- TU CREDITO PYME JOVEN";1003000;"BAJA CALIFORNIA SUR";1800000.00;3;3
2016;1;"1.- TU CREDITO PARA CRECER";1015000;"MEXICO";100000.00;1;1
2017;8;"2.- TU CREDITO PYME JOVEN";1023000;"QUINTANA ROO";1255000.00;1;1
2016;1;"2.- TU CREDITO PYME JOVEN";1003000;"BAJA CALIFORNIA SUR";378000.00;1;1
2015;8;"2.- TU CREDITO PYME JOVEN";1001000;"AGUASCALIENTES";4868000.00;8;8
2015;10;"2.- TU CREDITO PYME JOVEN";1021000;"PUEBLA";370000.00;1;1
2016;12;"2.- TU CREDITO PYME JOVEN";1003000;"BAJA CALIFORNIA SUR";2000000.00;1;1
2015;8;"3.- INCUBACION EN LINEA";1021000;"PUEBLA";120000.00;1;1
2017;8;"2.- TU CREDITO PYME JOVEN";1031000;"YUCATAN";9235000.00;6;6
2017;8;"2.- TU CREDITO PYME JOVEN";1022000;"QUERETARO";1889000.00;2;2
2016;5;"3.- INCUBACION EN LINEA";1006000;"COLIMA";300000.00;2;2
2016;1;"3.- INCUBACION EN LINEA";1009000;"CIUDAD DE MEXICO";350000.00;3;3
2015;8;"3.- INCUBACION EN LINEA";1014000;"JALISCO";280000.00;3;3
2016;4;"3.- INCUBACION EN LINEA";1027000;"TABASCO";420000.00;3;3
2016;4;"4.- INCUBACION PRESENCIAL";1015000;"MEXICO";1220000.00;3;3
2016;1;"1.- TU CREDITO PARA CRECER";1030000;"VERACRUZ";300000.00;2;2
2015;8;"2.- TU CREDITO PYME JOVEN";1009000;"CIUDAD DE MEXICO";1071000.00;2;2
2016;3;"3.- INCUBACION EN LINEA";1016000;"MICHOACAN";290000.00;2;2
2016;7;"1.- TU CREDITO PARA CRECER";1009000;"CIUDAD DE MEXICO";400000.00;2;2
2015;8;"2.- TU CREDITO PYME JOVEN";1010000;"DURANGO";2228205.00;2;2
2016;6;"1.- TU CREDITO PARA CRECER";1025000;"SINALOA";400000.00;2;2
2016;1;"3.- INCUBACION EN LINEA";1029000;"TLAXCALA";150000.00;1;1
2016;9;"2.- TU CREDITO PYME JOVEN";1024000;"SAN LUIS POTOSI";1200000.00;1;1
2015;8;"3.- INCUBACION EN LINEA";1005000;"COAHUILA";150000.00;1;1
2016;3;"3.- INCUBACION EN LINEA";1015000;"MEXICO";1400000.00;10;10
2017;6;"3.- INCUBACION EN LINEA";1012000;"GUERRERO";3550000.00;24;24
2015;8;"2.- TU CREDITO PYME JOVEN";1011000;"GUANAJUATO";740000.00;2;2
2017;8;"3.- INCUBACION EN LINEA";1025000;"SINALOA";2310000.00;16;16
2015;9;"2.- TU CREDITO PYME JOVEN";1015000;"MEXICO";675000.00;3;3
2016;4;"2.- TU CREDITO PYME JOVEN";1019000;"NUEVO LEON";5098000.00;8;8
2015;9;"2.- TU CREDITO PYME JOVEN";1002000;"BAJA CALIFORNIA NORTE";3543200.00;3;3
2017;4;"1.- TU CREDITO PARA CRECER";1025000;"SINALOA";100000.00;1;1
2015;8;"3.- INCUBACION EN LINEA";1015000;"MEXICO";450000.00;3;3
2016;5;"3.- INCUBACION EN LINEA";1002000;"BAJA CALIFORNIA NORTE";150000.00;1;1
2015;10;"3.- INCUBACION EN LINEA";1010000;"DURANGO";150000.00;1;1
2017;12;"3.- INCUBACION EN LINEA";1010000;"DURANGO";750000.00;5;5
2016;12;"3.- INCUBACION EN LINEA";1017000;"MORELOS";510000.00;4;4
2017;7;"2.- TU CREDITO PYME JOVEN";1001000;"AGUASCALIENTES";9278571.43;6;6
2015;12;"2.- TU CREDITO PYME JOVEN";1009000;"CIUDAD DE MEXICO";200000.00;1;1
2016;8;"3.- INCUBACION EN LINEA";1008000;"CHIHUAHUA";250000.00;2;2
2017;9;"3.- INCUBACION EN LINEA";1009000;"CIUDAD DE MEXICO";650000.00;5;5
2015;8;"2.- TU CREDITO PYME JOVEN";1014000;"JALISCO";2401000.00;4;4
2015;9;"2.- TU CREDITO PYME JOVEN";1003000;"BAJA CALIFORNIA SUR";492000.00;2;2
2016;11;"2.- TU CREDITO PYME JOVEN";1012000;"GUERRERO";521000.00;1;1
2016;3;"2.- TU CREDITO PYME JOVEN";1027000;"TABASCO";905000.00;1;1
2016;7;"4.- INCUBACION PRESENCIAL";1026000;"SONORA";501500.00;2;2
2015;10;"2.- TU CREDITO PYME JOVEN";1025000;"SINALOA";3562000.00;4;4
2017;8;"3.- INCUBACION EN LINEA";1008000;"CHIHUAHUA";300000.00;2;2
2016;3;"2.- TU CREDITO PYME JOVEN";1014000;"JALISCO";1470000.00;3;3
2015;8;"2.- TU CREDITO PYME JOVEN";1015000;"MEXICO";2317000.00;2;2
2015;8;"2.- TU CREDITO PYME JOVEN";1019000;"NUEVO LEON";3244000.00;7;7
2016;12;"1.- TU CREDITO PARA CRECER";1005000;"COAHUILA";270000.00;1;1
2017;2;"3.- INCUBACION EN LINEA";1015000;"MEXICO";380000.00;3;3
2015;8;"2.- TU CREDITO PYME JOVEN";1022000;"QUERETARO";1300000.00;1;1
2015;8;"3.- INCUBACION EN LINEA";1031000;"YUCATAN";120000.00;2;2
